"Structure"	"New_Structure"
"RUNX1-RUNX1T1_[I.074]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36226262-36226389 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcavbrqcnonl"
"RUNX1-RUNX1T1_[I.075]"	"chr21:36421139-36421200 chr8:93029454-93029659 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jvubrqcnonl"
"RUNX1-RUNX1T1_[I.076]"	"chr21:36421139-36421200 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36225796-36225959 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jdcbvbrqcnonl"
"RUNX1-RUNX1T1_[I.077]"	"chr21:36421139-36421200 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36228111-36228260 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jdcbvubrqcnonl"
"RUNX1-RUNX1T1_[I.078]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jiczvbrqcnonl"
"RUNX1-RUNX1T1_[I.079]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr8:93074774-93074855 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jicyvbrqcnonl"
"RUNX1-RUNX1T1_[I.080]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029659 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcvubrqcnonl"
"RUNX1-RUNX1T1_[I.081]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcavubrqcnonl"
"RUNX1-RUNX1T1_[I.082]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcavubrqcnonl"
"RUNX1-RUNX1T1_[I.083]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93039671-93039961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcavubrqcnonl"
"RUNX1-RUNX1T1_[I.084]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36226262-36226389 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcavubrqcnonl"
"RUNX1-RUNX1T1_[I.085]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcbvubrqcnonl"
"RUNX1-RUNX1T1_[I.086]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36220379-36220725 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcavubrqcnonl"
"RUNX1-RUNX1T1_[I.087]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr8:93029400-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jivbrqcnonl"
"RUNX1-RUNX1T1_[I.088]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr8:93029454-93029659 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jicvubrqcnonl"
"RUNX1-RUNX1T1_[I.089]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jicavubrqcnonl"
"RUNX1-RUNX1T1_[I.090]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr8:93048119-93048713 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jicbvubrqcnonl"
"RUNX1-RUNX1T1_[I.091]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr21:36224861-36225523 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jicavubrqcnonl"
"RUNX1-RUNX1T1_[I.092]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr21:36225796-36225959 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jicbvubrqcnonl"
"RUNX1-RUNX1T1_[I.093]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jivusbrqcnonl"
"RUNX1-RUNX1T1_[I.094]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252658-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcvubrqcnonl"
"RUNX1-RUNX1T1_[I.095]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36225796-36225959 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jibvubrqcnonl"
"RUNX1-RUNX1T1_[I.096]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36226965-36227153 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jiavubrqcnonl"
"RUNX1-RUNX1T1_[I.097]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr8:93064501-93064564 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jixvubrqcnonl"
"RUNX1-RUNX1T1_[I.098]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidczvubrqcnonl"
"RUNX1-RUNX1T1_[I.099]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029659 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcvubrqcnonl"
"RUNX1-RUNX1T1_[I.100]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252711-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcavbrqcnonl"
"RUNX1-RUNX1T1_[I.101]"	"chr21:36421139-36421200 chr21:36252711-36253010 chr21:36231771-36231875 chr21:36226262-36226389 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jdcavubrqcnonl"
"RUNX1-RUNX1T1_[I.102]"	"chr21:36421139-36421200 chr21:36265140-36265260 chr21:36252711-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcvubrqcnonl"
"RUNX1-RUNX1T1_[I.103]"	"chr21:36421465-36421539 chr21:36421139-36421255 chr21:36265222-36265260 chr8:92992124-92992159"	"kjip"
"RUNX1-RUNX1T1_[I.104]"	"chr21:36259338-36259444 chr8:93019570-93019660 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"garqcnp"
"RUNX1-RUNX1T1_[I.105]"	"chr21:36421465-36421539 chr21:36421139-36421255 chr8:92972432-92972745"	"kjl"
"RUNX1-RUNX1T1_[I.106]"	"chr21:36421465-36421539 chr21:36421139-36421255 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"kjcnonl"
"RUNX1-RUNX1T1_[I.107]"	"chr21:36421465-36421539 chr21:36421139-36421255 chr8:93029454-93029591 chr8:92972432-92972745"	"kjvl"
"RUNX1-RUNX1T1_[I.108]"	"chr21:36421139-36421226 chr8:92972432-92972745"	"jl"
"RUNX1-RUNX1T1_[I.110]"	"chr21:36421139-36421226 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"jcvbra"
"RUNX1-RUNX1T1_[I.111]"	"chr21:36421465-36421539 chr21:36421139-36421255 chr21:36265222-36265260 chr21:36259343-36259393 chr8:93017344-93017456 chr8:93006733-93006851"	"kjigra"
"RUNX1-RUNX1T1_[I.112]"	"chr21:36259332-36259444 chr8:93017344-93017502 chr8:93006733-93006851"	"gra"
"RUNX1-RUNX1T1_[I.113]"	"chr21:36421139-36421226 chr8:93017344-93017525 chr8:93006733-93006851"	"jra"
"RUNX1-RUNX1T1_[I.114]"	"chr21:36421139-36421226 chr21:36265222-36265260 chr8:93017344-93017525 chr8:93006733-93006851"	"jira"
"RUNX1-RUNX1T1_[I.115]"	"chr21:36421139-36421226 chr8:93006733-93006851"	"ja"
"RUNX1-RUNX1T1_[I.116]"	"chr21:36421139-36421226 chr21:36265222-36265260 chr8:93006733-93006851"	"jia"
"RUNX1-RUNX1T1_[I.117]"	"chr8:93074774-93074809 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"yvubra"
"RUNX1-RUNX1T1_[I.118]"	"chr8:93074774-93074809 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159"	"yvuqcnp"
"RUNX1-RUNX1T1_[I.119]"	"chr8:93074774-93074809 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"yvubrqcnp"
"RUNX1-RUNX1T1_[I.120]"	"chr8:93074774-93074809 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"yvubrqcnonm"
"RUNX1-RUNX1T1_[I.121]"	"chr8:93074774-93074809 chr8:93029462-93029591 chr8:92972432-92972533"	"yvl"
"RUNX1-RUNX1T1_[I.122]"	"chr8:93074774-93074809 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"yvubrql"
"RUNX1-RUNX1T1_[I.123]"	"chr8:93031356-93031377 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"evubrqcnp"
"RUNX1-RUNX1T1_[I.124]"	"chr8:93030936-93031377 chr8:93030837-93030875 chr8:93029454-93030436 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"bwbubrqcnp"
"RUNX1-RUNX1T1_[I.125]"	"chr8:93030506-93031377 chr8:93029454-93030425 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"bbubrqcnp"
"RUNX1-RUNX1T1_[I.126]"	"chr8:93031356-93031377 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"evubrqcnonl"
"RUNX1-RUNX1T1_[I.127]"	"chr8:93029454-93029853 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"bubra"
"RUNX1-RUNX1T1_[I.128]"	"chr8:93029454-93029853 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"bubrqcnp"
"RUNX1-RUNX1T1_[I.129]"	"chr8:93029454-93029853 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"bubrqcnonm"
"RUNX1-RUNX1T1_[I.130]"	"chr8:93029454-93029853 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"bubrqcnonl"
"RUNX1-RUNX1T1_[I.131]"	"chr8:93017344-93017679 chr8:93006733-93006851"	"ra"
"RUNX1-RUNX1T1_[I.132]"	"chr8:93017344-93017679 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"rqcnp"
"RUNX1-RUNX1T1_[I.133]"	"chr8:93017344-93017679 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"rqcnonm"
"RUNX1-RUNX1T1_[I.134]"	"chr8:93017344-93017679 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"rqcnponm"
"RUNX1-RUNX1T1_[I.135]"	"chr8:93017344-93017679 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"rqcnonl"
"Tr_00001"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:92972432-92972745"	"gdcavl"
"Tr_00002"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavbrqcnonm"
"Tr_00003"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavbrqcnonl"
"Tr_00004"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavbrqcnonl"
"Tr_00005"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavbrqcnponm"
"Tr_00006"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavbrqcnponl"
"Tr_00007"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavbrqcnponl"
"Tr_00008"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcavbrqcnp"
"Tr_00009"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcavbrql"
"Tr_00010"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcavbra"
"Tr_00011"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavurqcnonm"
"Tr_00012"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavurqcnonl"
"Tr_00013"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavurqcnonl"
"Tr_00014"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavurqcnponm"
